date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:53	7678/7678	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Nov%202021%2011:46:52%20GMT	http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T.html	(from )
18:46:53	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:46:54%20GMT	http://checkhasil.labparahita.com/robots.txt		(from )
18:46:53	9495/9495	---M--	200	added ('OK')	image/png	etag:%222517-59baa857f2080%22	http://checkhasil.labparahita.com/assets/img/favicon.png	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/img/favicon.png	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:54	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-5a983bc820200-gzip%22	http://checkhasil.labparahita.com/assets/vendor/bootstrap/css/bootstrap.min.css	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:55	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5a983bc820200-gzip%22	http://checkhasil.labparahita.com/assets/vendor/font-awesome/css/font-awesome.min.css	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/vendor/font-awesome/css/font-awesome.min.css	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:55	91501/91501	---M-Z	200	added ('OK')	text/css	etag:%221656d-5a983bc637d80-gzip%22	http://checkhasil.labparahita.com/assets/vendor/AdminLTE-2.4.3/css/AdminLTE.min.css	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/vendor/AdminLTE-2.4.3/css/AdminLTE.min.css	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:56	1611/1611	---M-Z	200	added ('OK')	text/css	etag:%2264b-5a983bca08680-gzip%22	http://checkhasil.labparahita.com/assets/vendor/iCheck/square/blue.css	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/vendor/iCheck/square/blue.css	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:57	118/118	---M-Z	200	added ('OK')	text/css	etag:%2276-5a995436d2180-gzip%22	http://checkhasil.labparahita.com/assets/js-lib/jquery.signature.css	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/jquery.signature.css	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:58	30861/30861	---M-Z	200	added ('OK')	text/css	etag:%22788d-5a995436d2180-gzip%22	http://checkhasil.labparahita.com/assets/js-lib/jquery-ui.css	E:/HTTTrack/TES%20Antigen/checkhasil.labparahita.com/assets/js-lib/jquery-ui.css	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
18:46:59	58186/58186	---M--	200	added ('OK')	image/jpeg	etag:%22e34a-5a4799ddc1e80%22	http://anamnesa.labparahita.com/img/wwa.jpg	E:/HTTTrack/TES%20Antigen/anamnesa.labparahita.com/img/wwa.jpg	(from http://checkhasil.labparahita.com/ceklab/0621J01303-06-GSxVXqBD1giu5HivsykwKBlmIFYUrXb9EcBV870T)
